ID,age,gender,usage_meeting_place,usage_worship,usage_arts,usage_wellbeing,usage_connections,usage_model_sustainability,usage_flexible_community/church,activities_like_to_see,usage_services,usage_festivals,reflection,usage_suggestions,modify_exterior,modify_interior,modify_sustainable_building,modify_layout_change,modify_cafe,modify_suggestions,contribute
179,70 +,Female,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Creative writing;Live music;Music / singing classes;Live theatre;Community cafe;Community coffee mornings;Community cinema;Counselling / wellbeing services;Pop-up fruit and veg weekly market;A place to worship;Activities for children;Activities for young people;Activities for seniors;Fitness / yoga / pilates / dance classes;Community book club;,Agree,Neutral,Agree,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,No thanks
180,70 +,1 Male 1 Female,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Live music;Community cafe;Community coffee mornings;Pop-up fruit and veg weekly market;A place to worship;Activities for seniors;,Agree,Agree,Agree,,Agree,Agree,Agree,Neutral,Neutral,,
181,50 - 70,Female,Agree,Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Drama;Live theatre;Community cafe;A place to worship;,Agree,Agree,Agree,Please bring back soup & pud lunch.,Disagree,Neutral,Neutral,Disagree,Neutral,,
182,31 - 49,Woman ,Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Disagree,Photography;Arts exhibitions;Creative workshops;Live music;Community cafe;Community cinema;Counselling / wellbeing services;Community cookery;Community social events;A toddler group;Fitness / yoga / pilates / dance classes;Community book club;,Disagree,Strongly Disagree,Neutral,Just to note that i wouldn’t feel comfortable attending events in this space if it is also still being used as a church ,Neutral,Strongly Agree,Agree,Agree,Agree,Pregnancy yoga and NCT would be fab - these are not currently available in the area. ,No thanks
183,31 - 49,Female,Neutral,Neutral,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Drama;Photography;Creative workshops;Arts exhibitions;Live theatre;,Neutral,Neutral,Neutral,,Neutral,Agree,Neutral,Neutral,Neutral,,YES -  I would be interested in becoming a volunteer
184,18 - 30,Female,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Photography;Creative workshops;Arts exhibitions;Music / singing classes;Live theatre;Fitness / yoga / pilates / dance classes;,Agree,Agree,Neutral,,Neutral,Neutral,Neutral,Neutral,Neutral,,No thanks
185,31 - 49,Female,Neutral,Strongly disagree,Agree,Strongly Agree,Agree,Neutral,Disagree,Drama;Photography;Creative workshops;Live music;Live theatre;,Neutral,Strongly Disagree,Neutral,,Agree,Disagree,Agree,Neutral,Agree,,No thanks
186,31 - 49,Female,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Drama;Photography;Creative workshops;Arts exhibitions;Live music;Live theatre;Community cafe;Community cinema;Pop-up fruit and veg weekly market;Fitness / yoga / pilates / dance classes;,Neutral,Agree,Agree,,Agree,Agree,Agree,Strongly Agree,Strongly Agree,,YES -  I would be interested in becoming a volunteer
187,50 - 70,Female,Agree,Strongly Agree,Neutral,Agree,Agree,Neutral,Strongly Agree,Drama;Live theatre;Community coffee mornings;Community cinema;Pop-up fruit and veg weekly market;Fitness / yoga / pilates / dance classes;,Agree,Agree,Agree,"You had a choir over from Wrexham about 4 years ago? That was really good. Nice to be able to walk to something and not have to get busses or taxis. Cinema in the Lane was good too, particularly in the winter when you don't feel like going far. Maybe a first aid course (basic). A little knowledge gives people the confidence to step in and help if needed instead of panicking or walking past doing nothing.",Neutral,Neutral,Neutral,Disagree,Disagree,"Soup and Pudding again.
Some originality for the building should be maintained.
I think we have enough cafes / eateries in the Lane.

Whilst some cosmetic work may be necessary or structural maintenance for safety, I feel the original building and organ etc should be kept as much as possible to the original structure. A traditional look is more in keeping with the surrounding area, particularly Cambrian Road. ",No thanks
188,31 - 49,Female,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Drama;Photography;Creative workshops;Arts exhibitions;Live music;Music / singing classes;Live theatre;Community cafe;Community coffee mornings;Community cinema;Counselling / wellbeing services;Pop-up fruit and veg weekly market;Community cookery;Community social events;Activities for young people;Fitness / yoga / pilates / dance classes;Community book club;,Neutral,Neutral,Neutral,,Disagree,Neutral,Neutral,Agree,Agree,,No thanks
189,18 - 30,Male,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Agree,Drama;Photography;Creative workshops;Arts exhibitions;Live theatre;Community cafe;Community coffee mornings;Community cinema;Counselling / wellbeing services;Fitness / yoga / pilates / dance classes;,Neutral,Agree,Neutral,,Agree,Agree,Agree,Agree,Agree,"Cinema
Market produce
Community first aid training",YES -  I would be interested in becoming a volunteer
190,31 - 49,Female,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Creative workshops;Arts exhibitions;Live music;Live theatre;Community cafe;Community cinema;Pop-up fruit and veg weekly market;Fitness / yoga / pilates / dance classes;,Neutral,Agree,Agree,,Neutral,Agree,Agree,Agree,Agree,,No thanks
191,31 - 49,Female,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Drama;Creative workshops;Live music;Music / singing classes;Live theatre;Community cinema;Counselling / wellbeing services;Pop-up fruit and veg weekly market;Community social events;Activities for children;Activities for young people;Fitness / yoga / pilates / dance classes;,Strongly Agree,Neutral,Neutral,"Linking up with other local churches. We attend Freedom Church, Chester. 
Linking up with other charities / organisations.
Giving blood? etc",Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,,YES -  I would be interested in becoming a volunteer
192,31 - 49,Female,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Drama;Photography;Creative workshops;Arts exhibitions;Live music;Live theatre;Community cafe;Community coffee mornings;Community cinema;Activities for children;Community book club;,Agree,Neutral,Neutral,,Neutral,Neutral,Agree,Neutral,Agree,,No thanks
193,31 - 49,Female,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Photography;Creative workshops;Arts exhibitions;Live music;Live theatre;Community cafe;Community cinema;Fitness / yoga / pilates / dance classes;,Agree,Agree,Agree,,Agree,Agree,Neutral,Agree,Strongly Agree,,YES -  I would be interested in becoming a volunteer
194,18 - 30,Female,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Photography;Creative workshops;Community cinema;Pop-up fruit and veg weekly market;A place to worship;Community cookery;,Agree,Strongly Agree,Agree,,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,,No thanks
195,31 - 49,Male,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Arts exhibitions;Creative writing;Live music;Music / singing classes;Live theatre;Community cafe;Community cinema;Community social events;,Agree,Agree,Agree,,Agree,Agree,Agree,Strongly Agree,Strongly Agree,,No thanks
196,70 +,Female,Agree,Strongly Agree,Neutral,Neutral,Agree,Agree,Agree,Community coffee mornings;Pop-up fruit and veg weekly market;Activities for seniors;Community book club;,Agree,Neutral,Neutral,I go to my own church.,Neutral,Neutral,Neutral,Neutral,Neutral,,No thanks
197,50 - 70,Male,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Drama;Photography;Creative workshops;Arts exhibitions;Live music;Live theatre;Community cafe;Community cinema;Counselling / wellbeing services;After school club;Activities for children;Activities for young people;Activities for seniors;Fitness / yoga / pilates / dance classes;Community book club;,Agree,Neutral,Agree,,Agree,Neutral,Agree,Neutral,Neutral,,No thanks
198,31 - 49,Female,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Drama;Photography;Creative workshops;Arts exhibitions;Creative writing;Live theatre;Community cafe;Community cinema;,Neutral,Disagree,Neutral,,Neutral,Neutral,Neutral,Neutral,Agree,,No thanks
199,31 - 49,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Drama;Photography;Creative workshops;Arts exhibitions;Creative writing;Live music;Music / singing classes;Live theatre;Community cafe;Community coffee mornings;Community cinema;Counselling / wellbeing services;Pop-up fruit and veg weekly market;A place to worship;Community cookery;Community social events;A toddler group;After school club;Activities for children;Activities for young people;Activities for seniors;Fitness / yoga / pilates / dance classes;Community book club;,Strongly Agree,Strongly Agree,Strongly Agree,Arts projects; Exhibitions; Film Clubs; Photography; Live performance,Neutral,Neutral,Strongly Agree,Agree,Strongly Agree,For wellbeing; Promoting arts and culture; diversity,YES -  I would be interested in becoming a volunteer
200,18 - 30,Female,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Drama;Creative workshops;Creative writing;Live music;Music / singing classes;Live theatre;Community cafe;Community coffee mornings;Community cinema;Counselling / wellbeing services;Pop-up fruit and veg weekly market;A place to worship;Community cookery;Community social events;A toddler group;Activities for children;Activities for young people;Activities for seniors;Fitness / yoga / pilates / dance classes;,Neutral,Agree,Agree,,Agree,Agree,Strongly Agree,Neutral,Agree,"Greenway grocer!
Particularly great activities would be: Live music, live theatre, community cafe, coffee mornings, pop-up fruit and veg market, community social events",No thanks
201,31 - 49,Male,Agree,Neutral,Strongly Agree,Agree,Agree,Neutral,Neutral,Drama;Photography;Creative workshops;Arts exhibitions;Creative writing;Live music;Live theatre;Activities for children;Activities for young people;Fitness / yoga / pilates / dance classes;,Agree,Agree,Agree,,Agree,Agree,Agree,Neutral,Agree,,No thanks
202,70 +,Female,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Community cafe;Community coffee mornings;Community cinema;A place to worship;Community social events;Activities for seniors;Community book club;,Strongly Agree,Strongly Agree,Strongly Agree,,Neutral,Agree,Agree,Disagree,Agree,,No thanks
203,70 +,Female,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Drama;Creative writing;Music / singing classes;Community cafe;A place to worship;Community social events;Activities for seniors;Fitness / yoga / pilates / dance classes;,Neutral,Neutral,Strongly Agree,Space for a sanctum made welcoming for people to go for peace and help if in difficulty and prayer with a cross in view.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,YES -  I would be interested in becoming a volunteer
204,18 - 30,Male,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Drama;Photography;Creative workshops;Live music;Live theatre;Community cinema;A place to worship;Community social events;A toddler group;Activities for children;Activities for seniors;Fitness / yoga / pilates / dance classes;,Strongly Agree,Strongly Agree,Strongly Agree,"It should not be used for pubs/clubs, no alcohol parties in the Church.",Neutral,Neutral,Agree,Agree,Agree,"Mostly it should be used for practicing Yoga, play area for toddlers, birthday celebrations or and live small event.",No thanks
